transaction_amount,merchant_category,country_risk_score,account_age_days,transaction_count_24h,failed_auth_attempts_24h,is_new_device,hour_utc,label_is_high_risk
639.79,retail,0.03,564,7,1,True,23,0
103.39,retail,0.74,1117,2,4,False,1,0
30.77,retail,0.22,1035,19,0,True,22,0
650.23,retail,0.54,452,14,4,False,0,0
759.05,retail,0.16,866,10,2,True,6,1
957.26,retail,0.34,190,12,0,False,11,1
604.12,retail,0.81,1495,14,4,True,12,0
79.72,retail,0.29,1288,19,2,True,22,0
70.49,retail,0.66,1584,9,0,True,3,0
380.75,retail,0.45,1709,11,1,False,11,0
210.3,retail,0.27,1919,20,0,True,17,0
729.4,retail,0.16,778,8,4,True,21,1
324.96,retail,0.77,115,7,0,False,12,0
268.47,retail,0.21,1932,18,2,True,20,0
499.73,retail,0.88,1317,14,1,False,4,0
247.38,retail,0.56,539,18,3,False,11,0
220.1,retail,1.0,1044,15,0,True,3,0
153.69,retail,0.16,1394,13,4,True,12,0
382.24,retail,1.0,1084,8,4,True,21,0
721.0,retail,0.68,1100,8,2,True,9,1
435.33,retail,0.45,1954,8,4,True,16,0
912.72,retail,0.87,612,20,4,True,4,1
374.54,retail,0.16,1953,16,0,False,15,0
20.46,retail,0.93,1800,9,1,True,7,0
878.13,retail,0.95,176,15,0,True,4,1
660.09,retail,0.95,339,8,4,False,6,0
928.98,retail,0.76,1413,6,2,False,21,1
650.23,retail,0.44,1060,14,0,True,7,0
64.96,retail,0.02,1135,7,4,True,0,0
71.92,retail,0.63,469,2,0,False,2,0
514.64,retail,0.28,995,6,4,True,23,0
935.58,retail,0.57,969,7,3,False,6,1
95.23,retail,0.66,726,13,3,False,23,0
55.12,retail,0.65,1324,3,0,False,23,0
339.96,retail,0.86,510,6,1,False,4,0
422.46,retail,0.28,512,2,3,True,1,0
652.49,retail,0.54,31,2,1,True,13,0
486.16,retail,0.21,822,1,1,False,0,0
985.32,retail,0.27,1606,14,2,False,22,1
957.36,retail,1.0,1139,15,1,True,9,1
218.48,retail,0.06,1507,17,0,False,1,0
51.09,retail,0.48,1883,16,1,True,16,0
81.03,retail,0.19,1219,2,1,False,3,0
941.65,retail,0.57,1186,19,0,True,13,1
657.72,retail,0.57,648,8,1,False,7,0
266.35,retail,0.13,1322,9,3,False,2,0
10.31,retail,0.62,1154,3,0,True,16,0
265.94,retail,0.93,1805,2,1,False,9,0
158.59,retail,0.83,1441,9,4,True,21,0
817.29,retail,0.3,1359,3,1,False,3,1
889.82,retail,0.74,319,8,2,True,22,1
343.54,retail,0.69,1747,8,4,False,8,0
905.43,retail,0.85,190,20,3,False,1,1
4.54,retail,0.77,1305,8,1,False,17,0
705.96,retail,0.56,230,2,1,True,11,1
582.93,retail,0.15,262,1,2,False,1,0
899.03,retail,0.21,512,3,2,False,19,1
749.73,retail,0.93,485,5,1,False,0,1
180.18,retail,0.92,1603,13,1,False,5,0
787.59,retail,0.11,1787,1,3,True,6,1
816.77,retail,0.46,626,7,1,True,21,1
193.94,retail,0.33,1771,2,2,False,20,0
509.9,retail,0.68,1728,17,2,True,3,0
877.16,retail,0.26,1190,8,0,True,19,1
435.13,retail,0.73,643,13,4,True,12,0
899.61,retail,0.19,91,13,0,True,11,1
431.87,retail,0.95,1886,10,4,False,21,0
848.17,retail,0.72,616,16,2,False,10,1
403.0,retail,0.3,261,6,3,False,21,0
748.39,retail,0.17,1166,9,3,True,9,1
287.63,retail,0.43,1188,19,2,False,14,0
442.72,retail,0.21,970,5,0,False,16,0
664.19,retail,0.62,192,7,2,True,6,0
148.21,retail,0.05,974,19,0,False,13,0
886.25,retail,0.58,1472,12,3,False,7,1
148.42,retail,0.69,1829,3,3,True,5,0
804.31,retail,0.7,952,1,4,True,3,1
457.01,retail,0.8,1368,16,4,False,14,0
613.04,retail,0.72,1034,13,4,False,5,0
743.91,retail,0.47,531,7,2,False,20,1
240.01,retail,0.44,1462,9,1,False,10,0
320.39,retail,0.54,284,4,1,False,22,0
153.65,retail,0.21,850,13,2,False,13,0
63.2,retail,0.83,798,18,0,False,15,0
6.89,retail,0.35,1544,12,3,True,15,0
220.2,retail,0.44,60,12,2,False,23,0
165.88,retail,0.47,262,19,4,True,12,0
592.3,retail,0.66,172,20,3,True,14,0
182.55,retail,0.26,671,6,3,False,10,0
761.47,retail,0.38,1541,13,2,True,15,1
20.36,retail,0.54,1950,11,1,True,20,0
41.22,retail,0.03,507,6,0,True,7,0
127.09,retail,0.67,1156,6,3,False,11,0
168.62,retail,0.61,1532,3,1,False,3,0
579.11,retail,0.93,1180,12,3,True,2,0
592.51,retail,0.83,498,3,2,True,18,0
782.85,retail,0.35,878,11,0,False,0,1
849.73,retail,0.82,217,13,2,False,22,1
153.84,retail,0.18,1069,20,2,False,14,0
436.14,retail,0.73,550,10,1,True,8,0
